asin,name,rating,date,verified,review_title,body,helpfulVotes,brand,product_title
B00V8STWY8,Amazon Customer,3,"September 26, 2018",True,Not what it says it is,Wrong product... it said iPad Air and it’s an iPad 4th gen. Not at all what I wanted but yes it’s in good shape and works for an old iPad!!,2.0,Apple,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Renewed)"
B00V8STWY8,Amazon Customer,2,"May 30, 2018",True,Two Stars,I’m had a dent in the back,2.0,Apple,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Renewed)"
B00V8STWY8,G. Heard,1,"March 13, 2016",True,"No Warranty On Certified Refurbished From Square Deal, Junk iPad After Nine Months","Purchased this certified refurbished iPad Air in May of 2015 for $426.00 After the latest Apple update in February 2016 the iPad would crash after just a few minutes of operation. I have synced it multiple times, and tried every fix offered on Apple support. Finally made an appointment at the Apple store this weekend and advised by the Apple tech the iPad is toast. It has a hardware issue and cannot be repaired. I contacted Square Deals Inc. the company I purchased the iPad through Amazon from, and was advised the iPad is out of warranty after only 9 months. This is my fault for not researching this information. I'm out $426.00 after nine months of using this product with no recourse. I will never purchase another refurbished product from Square Trade and caution anyone else from doing the same.",13.0,Apple,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Renewed)"
B00V8STWY8,Sandra Littlejohn,5,"May 23, 2017",True,Five Stars,Love it!!!!!!,,Apple,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Renewed)"
B00V8STWY8,Betty m.,1,"February 5, 2017",True,I DO NOT RECOMMEND THIS IPAD,There is no sims card in this. iPad. I assumed the sims card was always built in.....wrong. I think the information and description for this produce is misleading. It should clearly state. NO SIMS CARD so customer knows what the product is before buying. I would not bought it had I known. Betty M,6.0,Apple,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Renewed)"
B00V8STWY8,Gilbert Azagra,2,"January 22, 2017",False,like Indian zimcard,"It's work any zimcard?, like Indian zimcard? need your answer ASAP tnx",3.0,Apple,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Renewed)"
B00VQQ294C,S. Carey,1,"November 29, 2017",True,Don't Ever Buy a Refurbished Apple Product,"Don't ever buy a refurbished Apple product. I bought a 5th generation iPod in April for about $175. The battery life started to degrade within a week or 2. After less than 20 uses at the gym, the battery lasted less than 15 minutes when fully charged. So, I ordered a replacement battery kit and when I took the refurbed unit apart today, I discovered that several internal clips were broken and 2 mounting screws were missing from a previous shoddy repair. The new battery install failed, and now I need to buy a new ipod. I'm buying new this time and getting a warranty.",15.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,cassie,5,"June 12, 2018",True,Works great,First I was worried about buying a used iPod but now I’m glad I did because I saved a bunch of money and I got a great product that works same !,9.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Malachi Bundi,5,"May 12, 2018",True,The ipod is good. Looks clean though it came with a slight ...,"Sorry, this video is unsupported on this browser.  The ipod is good. Looks clean though it came with a slight crack on the top right. and the earpods were missing.v",7.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
B00VQQ294C,Ron Marie,3,"January 26, 2019",True,get something better,"freezes, has issues charging and staying charged so in this instance you get what you pay for- pretty much nothing.",4.0,Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed)
