package_name,review,date,star
org.ppsspp.ppsspp,I don't know... i just want to rate this app,November 18 2016,5
org.ppsspp.ppsspp,Goof,November 18 2016,5
org.ppsspp.ppsspp,ITS TOOOOOO MUCH GOOD Its tooo good but in the game god of war Ghost of sparta its audio sound crashes screen looks dark....plz ppsspp team give me the solution......then sure 5 stars,November 18 2016,4
org.ppsspp.ppsspp,Doesn't work I have marshmallow....the game screen open but the game didn't start,November 18 2016,1
org.ppsspp.ppsspp,Super appli mais le hic c'est l'audio qui laisse à desirer mais en tant qu'emulator psp 👍👍👫,November 18 2016,4
org.ppsspp.ppsspp,doesnt work on s7 edge,November 18 2016,1
org.ppsspp.ppsspp,Cool,November 18 2016,5
org.ppsspp.ppsspp,Sir plz not smothly Fix lg 2,November 18 2016,5
org.ppsspp.ppsspp,Like it,November 18 2016,5
org.ppsspp.ppsspp,Dies is cool,November 18 2016,5
org.ppsspp.ppsspp,Bugs There are still bugs my stick pad automaticly control it self pls fix it,November 18 2016,2
org.ppsspp.ppsspp,Wow We can play any games in psppp,November 18 2016,5
org.ppsspp.ppsspp,Best games Thanks for the best PPSSPP emulator  so that I can play the best games I want to play,November 18 2016,5
org.ppsspp.ppsspp,Still crashing 😑,November 18 2016,2
org.ppsspp.ppsspp,Best Good,November 18 2016,5
org.ppsspp.ppsspp,Tips to play your games in full speed HD Upgrade your android 4.4+ or custom your rom 4.4+,November 18 2016,5
org.ppsspp.ppsspp,Wooo The world best fickle you have any questions please feel that the message and all,November 18 2016,5
org.ppsspp.ppsspp,It sucks It bring back the wonderful memory of mine,November 18 2016,5
org.ppsspp.ppsspp,nice graphics wonderful,November 18 2016,5
org.ppsspp.ppsspp,wwe play,November 18 2016,1
org.ppsspp.ppsspp,gg the dbz tagteam tenkaichi works like im using areal psp good work developers,November 18 2016,5
org.ppsspp.ppsspp,Shubham No,November 18 2016,2
org.ppsspp.ppsspp,Nice Good,November 18 2016,5
org.ppsspp.ppsspp,hate the game no tutorials boo :( (get out) I wish I could rate 0 stars,November 18 2016,1
org.ppsspp.ppsspp,Nice app Good graphic design,November 18 2016,3
org.ppsspp.ppsspp,Superb,November 18 2016,5
org.ppsspp.ppsspp,How to download a game,November 18 2016,3
org.ppsspp.ppsspp,Mmm Where can i download games,November 18 2016,2
org.ppsspp.ppsspp,Very good I love this app,November 18 2016,5
org.ppsspp.ppsspp,It's my favourite I love PSP,November 18 2016,5
org.ppsspp.ppsspp,Best ever get to plap dbz coo cool,November 18 2016,4
org.ppsspp.ppsspp,Tekken 6 is best,November 18 2016,1
org.ppsspp.ppsspp,When i open the game it displays unfortunately ppsspp has stopped.in samsung galaxy j26,November 18 2016,2
org.ppsspp.ppsspp,PPSSPP its graet,November 18 2016,5
org.ppsspp.ppsspp,Some games don't work Like dbz tenkaichi tacteam crashes,November 18 2016,3
org.ppsspp.ppsspp,I love it Sorry but i cant give you 5 stars cas i see i better app,November 18 2016,4
org.ppsspp.ppsspp,Gu,November 18 2016,5
org.ppsspp.ppsspp,Its the best emulator,November 18 2016,5
org.ppsspp.ppsspp,Can not download games It's realy good but i can not even download even 1 game i follow the instruction but it did not download the games,November 18 2016,1
org.ppsspp.ppsspp,How to download the games,November 17 2016,4
org.ppsspp.ppsspp,Pop Very nice,November 17 2016,5
org.ppsspp.ppsspp,Amazing Now playing ff disidia duuodesm,November 17 2016,5
org.ppsspp.ppsspp,Ppsspp Iloveit,November 17 2016,5
org.ppsspp.ppsspp,Like Nice,November 17 2016,5
org.ppsspp.ppsspp,Hard to download,November 17 2016,2
org.ppsspp.ppsspp,good,November 17 2016,4
org.ppsspp.ppsspp,Boooooo Very bad app. It is very slow. It is shitonar,November 17 2016,5
org.ppsspp.ppsspp,Problem I don't know why but every time i install it on my galaxy s7 it doesn't work at all,November 17 2016,2
org.ppsspp.ppsspp,p.k,November 17 2016,5
org.ppsspp.ppsspp,Best psp emulator ever Works fine and plays most of my games just fine,November 17 2016,5
org.ppsspp.ppsspp,How to load just download rar after downloading your PSP game enter to rar and go to the game and extract it find it out on YouTube,November 17 2016,5
org.ppsspp.ppsspp,Good Psp Emulator Best in play store but lag some gemes like assassin's creed and spider man and SmackDown vs row but run dbz shin budokoi,November 17 2016,4
org.ppsspp.ppsspp,Al Wwe,November 17 2016,5
org.ppsspp.ppsspp,Awesome I got my memories back with ppsspp that i downloaded dbz and my fovorite goku your's vegeta very disgusting and he is a very powerless fellow,November 17 2016,5
org.ppsspp.ppsspp,Nice game Every game is played by the way ppssp,November 17 2016,4
org.ppsspp.ppsspp,Good news I get some games i like this app very much like wwe,November 17 2016,5
org.ppsspp.ppsspp,best psp simulator,November 17 2016,5
org.ppsspp.ppsspp,Super app,November 17 2016,5
org.ppsspp.ppsspp,Very very useful It's is very easy emmulator,November 17 2016,5
org.ppsspp.ppsspp,how to download game? give me tutorial how to download game plssss,November 17 2016,5
org.ppsspp.ppsspp,Nice This is awesome. I can play old games now..,November 17 2016,4
