review_text,date,rating
???? Works only when it wants to work,November 18 2016,3
Vanessa talk back Ok okay alright,November 18 2016,5
Does this app give ability's to hacker's for getting into a persons Android or computer?,November 18 2016,4
Excellent Thanks,November 18 2016,5
Galaxy Note 4 🌐 Iran Android ➡ 6 0 1 ★,November 18 2016,3
Like this app,November 18 2016,3
Google Talk For my account auth.,November 18 2016,5
Good I like it,November 18 2016,1
Google Talk Back Very Fascinating Application  Google Responding with Requested info Smart I like a lot!A++,November 18 2016,5
I Like,November 18 2016,5
Bettet,November 18 2016,3
good good,November 18 2016,5
Fine Fine,November 18 2016,5
Hate it,November 18 2016,1
Yuva,November 18 2016,5
Ni,November 18 2016,5
Good Ata,November 18 2016,3
nice love it,November 18 2016,5
Hi Hi,November 18 2016,5
WOW.....EEEEEEEE.........,November 18 2016,5
Sss Ssss,November 18 2016,5
Google talkback Bad,November 18 2016,5
Loved it Is good,November 18 2016,5
Well done Google Well done Google thanks,November 18 2016,5
Great app,November 18 2016,5
Hated it It does not work anymore,November 18 2016,1
Not good Annoying app,November 18 2016,2
I don't want it Why are mandatory apps?,November 18 2016,1
Problems with turn off,November 17 2016,1
Very bad app Worst ....,November 17 2016,1
StupidPeople disliking this app For those people who think this is not a good app I disagree because thats just racism!,November 17 2016,4
Loved It,November 17 2016,5
Need to speak more about a topic,November 17 2016,4
Why is this system app ??? Cannot uninstall ..why the hell is this a system app ?? Have no use for it.,November 17 2016,1
Nice Nice,November 17 2016,5
Umma Farjana,November 17 2016,5
Good app Use ful but a few improvements are needed,November 17 2016,4
YAGNESH SHELAT,November 17 2016,5
Greatest ever Love it,November 17 2016,3
Just for the best on the new nobles de corazón Musical instr uments y de juniors,November 17 2016,5
Very easy app to use,November 17 2016,5
How do you delete it ? I dont want this its useless and annoying that i cant get rid of it!,November 17 2016,1
Loved it Loved it,November 17 2016,5
I coudnt even get into it sucked,November 17 2016,1
Awesome Great! Brilliant!,November 17 2016,5
God Very Nice,November 17 2016,3
My mam says you should never talk back to her,November 17 2016,1
Thik thak,November 17 2016,5
Yep Yep,November 17 2016,3
Sethi Pinku,November 17 2016,2
This is sooooooooo baaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaad Don't update it,November 17 2016,1
CHRISTINA AGUILERA IT'S OIMONDHOE HERE & I AM ABSOLUTELY THRILLED & PLEASED WITH THIS CHRISTINA AGUILERA SITE!X!X!X!X!X!X!,November 17 2016,5
great good,November 17 2016,3
Superb,November 17 2016,5
Nice Good app,November 17 2016,4
Excellent Very nice one,November 17 2016,4
Facebook Freind request,November 17 2016,5
Good Latest,November 17 2016,5
TalkBack speed Sometime this talk back virgin is automatically stopped,November 17 2016,3
Supra No,November 17 2016,5
Hate it,November 17 2016,1
So useful Very differant,November 16 2016,4
super easy to use,November 16 2016,5
Talkback For assurance,November 16 2016,5
Never use it! Keeps showing up! I uninstall it daily. Pain in my ass!,November 16 2016,1
OK loodu app,November 16 2016,5
No Not wanted,November 16 2016,1
It was horrible made me crack my phone,November 16 2016,1
Ok Thanks,November 16 2016,3
Two thumbs up Best ever,November 16 2016,5
Rajasengipta123,November 16 2016,5
Mr.Soe Aung Layy Lumluka,November 16 2016,3
Talkback This app works real well,November 16 2016,5
Uninstall option needed Don't want it Don't need it Takes up space,November 16 2016,1
Awesome !!,November 16 2016,5
"GOOGLE TALKBACK Read carefully & then give at least a good reviews  this app is made only for persons who got disability such as a blind person & if you want to get rid this simply just """"""""""""""""""""""""""""""""ROOT"""""""""""""""""""""""""""""""" your device  dumb head !!""""",November 16 2016,5
My darling Oyo darling. When this app not install my smart phone my life is not work.that is my android hart.and batter experience to enjoy this bewtifull application.I like and love every say.and used you.thanksto google.🌐 in💎that.written by SANJU JANA from india west Bengal sundarban.love is grate and batter for your life. Write 2016.,November 16 2016,5
Google Talk,November 16 2016,3
Ok,November 16 2016,5
kamrul islam,November 16 2016,3
Love me,November 16 2016,5
I like it very nice app For blind users,November 16 2016,4
Osm,November 16 2016,5
Didn't like it.,November 16 2016,1
A google user Not sure.,November 16 2016,2
Am the boss on my own Like.it or hate it,November 16 2016,1
Bad Bad,November 16 2016,1
I am not sure,November 16 2016,5
Require improvement,November 16 2016,2
Feedback Good,November 16 2016,5
Google talkback,November 16 2016,5
It's very fast i love it!!!,November 16 2016,5
Not fair I hate it because I don't use it  but I can't delete it  so all it does is take up space on my phone.,November 15 2016,1
Danyavadagalu,November 15 2016,5
Love this app.,November 15 2016,5
Good Nice App,November 15 2016,5
Mohit sain,November 15 2016,5
