review_text,date,rating
I don't know... i just want to rate this app,November 18 2016,5
Goof,November 18 2016,5
ITS TOOOOOO MUCH GOOD Its tooo good but in the game god of war Ghost of sparta its audio sound crashes screen looks dark....plz ppsspp team give me the solution......then sure 5 stars,November 18 2016,4
Doesn't work I have marshmallow....the game screen open but the game didn't start,November 18 2016,1
Super appli mais le hic c'est l'audio qui laisse à desirer mais en tant qu'emulator psp 👍👍👫,November 18 2016,4
doesnt work on s7 edge,November 18 2016,1
Cool,November 18 2016,5
Sir plz not smothly Fix lg 2,November 18 2016,5
Like it,November 18 2016,5
Dies is cool,November 18 2016,5
Bugs There are still bugs my stick pad automaticly control it self pls fix it,November 18 2016,2
Wow We can play any games in psppp,November 18 2016,5
Best games Thanks for the best PPSSPP emulator  so that I can play the best games I want to play,November 18 2016,5
Still crashing 😑,November 18 2016,2
Best Good,November 18 2016,5
Tips to play your games in full speed HD Upgrade your android 4.4+ or custom your rom 4.4+,November 18 2016,5
Wooo The world best fickle you have any questions please feel that the message and all,November 18 2016,5
It sucks It bring back the wonderful memory of mine,November 18 2016,5
nice graphics wonderful,November 18 2016,5
wwe play,November 18 2016,1
gg the dbz tagteam tenkaichi works like im using areal psp good work developers,November 18 2016,5
Shubham No,November 18 2016,2
Nice Good,November 18 2016,5
hate the game no tutorials boo :( (get out) I wish I could rate 0 stars,November 18 2016,1
Nice app Good graphic design,November 18 2016,3
Superb,November 18 2016,5
How to download a game,November 18 2016,3
Mmm Where can i download games,November 18 2016,2
Very good I love this app,November 18 2016,5
It's my favourite I love PSP,November 18 2016,5
Best ever get to plap dbz coo cool,November 18 2016,4
Tekken 6 is best,November 18 2016,1
When i open the game it displays unfortunately ppsspp has stopped.in samsung galaxy j26,November 18 2016,2
PPSSPP its graet,November 18 2016,5
Some games don't work Like dbz tenkaichi tacteam crashes,November 18 2016,3
I love it Sorry but i cant give you 5 stars cas i see i better app,November 18 2016,4
Gu,November 18 2016,5
Its the best emulator,November 18 2016,5
Can not download games It's realy good but i can not even download even 1 game i follow the instruction but it did not download the games,November 18 2016,1
How to download the games,November 17 2016,4
Pop Very nice,November 17 2016,5
Amazing Now playing ff disidia duuodesm,November 17 2016,5
Ppsspp Iloveit,November 17 2016,5
Like Nice,November 17 2016,5
Hard to download,November 17 2016,2
good,November 17 2016,4
Boooooo Very bad app. It is very slow. It is shitonar,November 17 2016,5
Problem I don't know why but every time i install it on my galaxy s7 it doesn't work at all,November 17 2016,2
p.k,November 17 2016,5
Best psp emulator ever Works fine and plays most of my games just fine,November 17 2016,5
How to load just download rar after downloading your PSP game enter to rar and go to the game and extract it find it out on YouTube,November 17 2016,5
Good Psp Emulator Best in play store but lag some gemes like assassin's creed and spider man and SmackDown vs row but run dbz shin budokoi,November 17 2016,4
Al Wwe,November 17 2016,5
Awesome I got my memories back with ppsspp that i downloaded dbz and my fovorite goku your's vegeta very disgusting and he is a very powerless fellow,November 17 2016,5
Nice game Every game is played by the way ppssp,November 17 2016,4
Good news I get some games i like this app very much like wwe,November 17 2016,5
best psp simulator,November 17 2016,5
Super app,November 17 2016,5
Very very useful It's is very easy emmulator,November 17 2016,5
how to download game? give me tutorial how to download game plssss,November 17 2016,5
Nice This is awesome. I can play old games now..,November 17 2016,4
Love love,November 17 2016,5
Awsm Don't waste time reading comments guys download,November 17 2016,5
Good. Good game.,November 17 2016,5
God G,November 17 2016,5
Good joob It's beatufaul,November 17 2016,5
Time killer Sooooooooo goood love it😙😘😙😘😘😘😘 🙌🙌🙌,November 17 2016,5
Nice :D Want more games that works well but.. AWESOME!,November 17 2016,5
NotWorking+nothigh definition,November 17 2016,1
Such a great app This app is great we can PSP games any time anywhere is Android 📱,November 17 2016,5
It is usable,November 17 2016,5
Good Good emulator but please note that the this not hd add the hd,November 17 2016,4
I like it,November 17 2016,5
Best app Psp games now in your android,November 17 2016,5
Best emulator #duterte F**** i love it,November 17 2016,5
Awesome It is so fantastic. Very nice. I loved it,November 17 2016,3
Verry good app BEST GAME PLAY EMULATOR..,November 17 2016,4
Why games lag,November 17 2016,1
PPSSPP Good application,November 17 2016,5
Nice Nice nice,November 17 2016,4
How can I play a game in this emulator..? Somebody tell me please...,November 17 2016,5
ppsspp Outstanding,November 17 2016,5
I love it this game,November 17 2016,5
It is bast app But dose not work in my xolo q610s lollipop I have PSP screen in black dot dot plz solution,November 17 2016,5
Gud It is gud bt nt very much,November 17 2016,3
Sudden lag I play games always with 60 fps  but something randomly happens and my game is 20 fps in most areas and nothing has changed in my settings  i have to re install every time... Pls fix it  i use xiaomi redmi note 3. EDIT: I found the issue  it happens whenever my battery gets 10℅ but i still dont understand the lag.,November 17 2016,3
It lags on some games How do I make it run games faster and smoother on Huawei P8 Lite 4G Android 6? Kindly show the guidelines of settings to follow for a smoother performance,November 17 2016,5
VERY GOOD!!!!!!!!!!! VERY awesome app,November 17 2016,5
STUPID EMULATOR YOU SO STUPID CREATOR,November 16 2016,1
this app is so awosome,November 16 2016,5
I don't know how to emulate I gave 3 stars and I don't know how to emulate so reply and thank you and add some tips and update it thx and btw it takes me 2 hours to emulate it and idk pls fix it,November 16 2016,3
So bad,November 16 2016,2
Black screen appears while playing game Please give sloution for this,November 16 2016,3
The people who are saying this app boring are beggar because they can't buy a good ram phone. I have Samsung note 7 edge,November 16 2016,5
Psp emulator!!!! I encourage you to inovate it!!,November 16 2016,5
Can you please add a rotation function? I love this app but my kids cracked my screen and my game selection is on the dead part of the screen... Just out of reach... But if my screen could be flipped... Problem solved  i can still use most of my apps effectively with this function.,November 16 2016,4
Fix sound promblem on samsung glaxy j2 2015,November 16 2016,1
Good But It's to laggy on gta vcs,November 16 2016,2
PPSSPP PSP,November 16 2016,5
Good Good,November 16 2016,5
Old version is the best The new version of ppsspp is just laggy and too many settings to make your games no lag.Old versions of ppsspp is the best,November 16 2016,2
Need's to run faster especially for tekken 6,November 16 2016,3
It's very excited,November 16 2016,3
Superb Games hard to come by tho,November 16 2016,5
Keeps getting better and better,November 16 2016,5
Prrrroud Of course it's good,November 16 2016,5
Loved it Very usefull app and fantastic app and one time download and try it,November 16 2016,5
Great Awesome apps.... Easy to use,November 16 2016,5
Best app Nice and very good app for android,November 16 2016,5
When i open a cube elf the screen becomes black when i pull nofication bar down the screen becomes colourfull,November 16 2016,1
Needs working Bruh if u guyz just fix this so it as no logs it would be cool yow,November 16 2016,1
Loved It,November 16 2016,5
Hi,November 16 2016,5
Good Marvellous,November 16 2016,5
Vicky,November 16 2016,5
JHAWAR Das,November 16 2016,5
Is not work an 6.0,November 16 2016,1
It is not supported on marshmallo I lovIt is not supported on marshmallo,November 16 2016,5
ITS AMAZING It IS THE BEST GAMEPLAYER,November 16 2016,5
Hate All games are buffering,November 16 2016,1
Madorchote game,November 16 2016,1
good but No multitouch? Please update me so I can finally finish the tutorial scene,November 16 2016,5
Best This is the best emulator available on android,November 16 2016,5
Best PSP Hargun,November 16 2016,5
I like it It was a good software,November 16 2016,4
All stars Favorite clop,November 16 2016,5
Amazing Awsome,November 16 2016,5
Best app of my day,November 16 2016,5
Niceeee,November 16 2016,5
Whoever says it is boring you are f**king wrong,November 16 2016,5
Bast app Bast parfomans,November 16 2016,5
Really love but how do I downloaded the files for the game,November 16 2016,5
