review_text,date,rating
Awesome app,November 18 2016,5
Nice,November 18 2016,1
Rkj Fine,November 18 2016,5
My Telegram I Love It,November 18 2016,5
Its good application i love it.....,November 18 2016,5
Very good this app ... thanks,November 18 2016,5
download it,November 18 2016,4
I like it but a need something I can call an receiving call to but don't registry in my cell bill..... Like whatsapp!,November 18 2016,4
Hey,November 18 2016,5
Super,November 18 2016,5
Very good,November 18 2016,5
David ranjith Nice,November 18 2016,5
Please remove notification during call Finally  small emo are back!!!,November 18 2016,4
Good The good app download it,November 18 2016,4
Nice,November 18 2016,5
Gooood Goooooooooooood,November 18 2016,5
Nice App Like What'sApp.,November 18 2016,4
its ok,November 18 2016,3
Love it,November 18 2016,5
Telegram Good but telegram does not auto linked with my contact. Is there a way to link them?,November 18 2016,4
Moon murali,November 18 2016,5
this is a good app for every day and every time i love it so much😙,November 18 2016,4
Good Perfect,November 18 2016,5
Sree Good,November 18 2016,5
Ok,November 18 2016,5
Super soft,November 18 2016,5
Lovrit G ug dev christian,November 18 2016,5
nice this app is nice,November 18 2016,5
Best app,November 18 2016,5
Its not working Don't waste your mb. Not comes confirm code😤😤😤😤😤,November 18 2016,1
Ehsan Kourd,November 18 2016,5
Really love it 💙 Best ever,November 18 2016,5
Zor base,November 18 2016,5
Outstanding app We can doing our cse preparation on it .,November 18 2016,5
Mathavan Poovai,November 18 2016,5
Jk Good,November 18 2016,4
emoji ایموجیامزخرفه قبلیابهتربودن,November 18 2016,2
telegram very nice use this app    i loved it,November 18 2016,5
Hai Hai,November 18 2016,5
It's cool,November 17 2016,4
Telegram The best app for your business,November 17 2016,5
I hate it It has refuse to download pictures even screen shots,November 17 2016,1
Yyhhgh فقط نسخه جدیدش رو زودتر رایهٔ کنید,November 17 2016,5
Love it,November 17 2016,5
Nice I love it,November 17 2016,3
Ashok Super,November 17 2016,5
It is not show badges(unread counter)in xperia phones...support the new xperia home api,November 17 2016,2
The great app Easy  secure and faster,November 17 2016,4
Good but i have a problem.. I have read all the telegram message but the notification on screen stated has one more message. How can i clear it?,November 17 2016,3
Excellent Aplication,November 17 2016,5
Call feature Please add call feature ☺☺☺,November 17 2016,5
Hugely,November 17 2016,5
(solved) Cannot screenshot on the app after new update Developer response: With the recent updates to Telegram  screenshots are disabled by default  if you have the passcode lock enabled. You can change this setting by going to: Settings -- Privacy and Security -- Passcode lock  then enable Allow Screen Capture and restart the app.,November 17 2016,5
Best than whatsapp,November 17 2016,5
Data delete itself I want back my deleted data Help,November 17 2016,1
Nice Good apk C7BED776,November 17 2016,5
Superb,November 17 2016,5
Bad performance It was fast before now its performance has Become slow some videos sent 2 others on ios device don't work screen appear blank only voice run but Same videos run successfully on WhatsApp. Sorry to say that WhatsApp is faster and can run media successfully.,November 17 2016,3
Yes Gud,November 17 2016,5
I like it Better than watsup,November 17 2016,5
Priya Ranjeet Lets make new friends,November 17 2016,1
Nice Nice,November 17 2016,5
I liked it But I have a suggestion plz sir and the creator of this app plz add one more feature that is time line so that one can easily share all the happenings publicly with his or her known contacts....................,November 17 2016,4
It s good more then wtapp It very nine,November 17 2016,5
IT'S SCAM hello friends   this software is scam for collection point coins   lost time  nothing when you withdrawal to your address wallet . if you got received   please talk to me  because I withdraw 2 times with 0.0005 x2. but nothing my address wallet .,November 17 2016,1
Nice app,November 17 2016,4
