package_name,review,date,star
org.telegram.messenger,Awesome app,November 18 2016,5
org.telegram.messenger,Nice,November 18 2016,1
org.telegram.messenger,Rkj Fine,November 18 2016,5
org.telegram.messenger,My Telegram I Love It,November 18 2016,5
org.telegram.messenger,Its good application i love it.....,November 18 2016,5
org.telegram.messenger,Very good this app ... thanks,November 18 2016,5
org.telegram.messenger,download it,November 18 2016,4
org.telegram.messenger,I like it but a need something I can call an receiving call to but don't registry in my cell bill..... Like whatsapp!,November 18 2016,4
org.telegram.messenger,Hey,November 18 2016,5
org.telegram.messenger,Super,November 18 2016,5
org.telegram.messenger,Very good,November 18 2016,5
org.telegram.messenger,David ranjith Nice,November 18 2016,5
org.telegram.messenger,Please remove notification during call Finally  small emo are back!!!,November 18 2016,4
org.telegram.messenger,Good The good app download it,November 18 2016,4
org.telegram.messenger,Nice,November 18 2016,5
org.telegram.messenger,Gooood Goooooooooooood,November 18 2016,5
org.telegram.messenger,Nice App Like What'sApp.,November 18 2016,4
org.telegram.messenger,its ok,November 18 2016,3
org.telegram.messenger,Love it,November 18 2016,5
org.telegram.messenger,Telegram Good but telegram does not auto linked with my contact. Is there a way to link them?,November 18 2016,4
org.telegram.messenger,Moon murali,November 18 2016,5
org.telegram.messenger,this is a good app for every day and every time i love it so much😙,November 18 2016,4
org.telegram.messenger,Good Perfect,November 18 2016,5
org.telegram.messenger,Sree Good,November 18 2016,5
org.telegram.messenger,Ok,November 18 2016,5
org.telegram.messenger,Super soft,November 18 2016,5
org.telegram.messenger,Lovrit G ug dev christian,November 18 2016,5
org.telegram.messenger,nice this app is nice,November 18 2016,5
org.telegram.messenger,Best app,November 18 2016,5
org.telegram.messenger,Its not working Don't waste your mb. Not comes confirm code😤😤😤😤😤,November 18 2016,1
org.telegram.messenger,Ehsan Kourd,November 18 2016,5
org.telegram.messenger,Really love it 💙 Best ever,November 18 2016,5
org.telegram.messenger,Zor base,November 18 2016,5
org.telegram.messenger,Outstanding app We can doing our cse preparation on it .,November 18 2016,5
org.telegram.messenger,Mathavan Poovai,November 18 2016,5
org.telegram.messenger,Jk Good,November 18 2016,4
org.telegram.messenger,emoji ایموجیامزخرفه قبلیابهتربودن,November 18 2016,2
org.telegram.messenger,telegram very nice use this app    i loved it,November 18 2016,5
org.telegram.messenger,Hai Hai,November 18 2016,5
org.telegram.messenger,It's cool,November 17 2016,4
org.telegram.messenger,Telegram The best app for your business,November 17 2016,5
org.telegram.messenger,I hate it It has refuse to download pictures even screen shots,November 17 2016,1
org.telegram.messenger,Yyhhgh فقط نسخه جدیدش رو زودتر رایهٔ کنید,November 17 2016,5
org.telegram.messenger,Love it,November 17 2016,5
org.telegram.messenger,Nice I love it,November 17 2016,3
org.telegram.messenger,Ashok Super,November 17 2016,5
org.telegram.messenger,It is not show badges(unread counter)in xperia phones...support the new xperia home api,November 17 2016,2
org.telegram.messenger,The great app Easy  secure and faster,November 17 2016,4
org.telegram.messenger,Good but i have a problem.. I have read all the telegram message but the notification on screen stated has one more message. How can i clear it?,November 17 2016,3
org.telegram.messenger,Excellent Aplication,November 17 2016,5
org.telegram.messenger,Call feature Please add call feature ☺☺☺,November 17 2016,5
org.telegram.messenger,Hugely,November 17 2016,5
org.telegram.messenger,(solved) Cannot screenshot on the app after new update Developer response: With the recent updates to Telegram  screenshots are disabled by default  if you have the passcode lock enabled. You can change this setting by going to: Settings -- Privacy and Security -- Passcode lock  then enable Allow Screen Capture and restart the app.,November 17 2016,5
org.telegram.messenger,Best than whatsapp,November 17 2016,5
org.telegram.messenger,Data delete itself I want back my deleted data Help,November 17 2016,1
org.telegram.messenger,Nice Good apk C7BED776,November 17 2016,5
org.telegram.messenger,Superb,November 17 2016,5
org.telegram.messenger,Bad performance It was fast before now its performance has Become slow some videos sent 2 others on ios device don't work screen appear blank only voice run but Same videos run successfully on WhatsApp. Sorry to say that WhatsApp is faster and can run media successfully.,November 17 2016,3
org.telegram.messenger,Yes Gud,November 17 2016,5
org.telegram.messenger,I like it Better than watsup,November 17 2016,5
org.telegram.messenger,Priya Ranjeet Lets make new friends,November 17 2016,1
org.telegram.messenger,Nice Nice,November 17 2016,5
org.telegram.messenger,I liked it But I have a suggestion plz sir and the creator of this app plz add one more feature that is time line so that one can easily share all the happenings publicly with his or her known contacts....................,November 17 2016,4
org.telegram.messenger,It s good more then wtapp It very nine,November 17 2016,5
org.telegram.messenger,IT'S SCAM hello friends   this software is scam for collection point coins   lost time  nothing when you withdrawal to your address wallet . if you got received   please talk to me  because I withdraw 2 times with 0.0005 x2. but nothing my address wallet .,November 17 2016,1
org.telegram.messenger,Nice app,November 17 2016,4
org.telegram.messenger,Super Rocket fast information pass to others.,November 17 2016,5
org.telegram.messenger,Instant messaging  ugly design,November 17 2016,4
org.telegram.messenger,Superrr,November 17 2016,5
org.telegram.messenger,Ok I like it,November 17 2016,5
org.telegram.messenger,Good Good,November 17 2016,5
org.telegram.messenger,Good Nice app,November 17 2016,4
org.telegram.messenger,Good,November 17 2016,5
org.telegram.messenger,Bitcoin Their not paying out a single bitcoin... Bot is a SCAM,November 17 2016,1
org.telegram.messenger,I wish there was a better way too obfuscate activity.,November 17 2016,4
org.telegram.messenger,Good Verry good,November 17 2016,5
org.telegram.messenger,Lohith Very well,November 17 2016,3
org.telegram.messenger,I luv it Easy to use i like it,November 17 2016,5
org.telegram.messenger,XopC6zhv I don't agree with paid or fake reviews for cash. apperwall sent me here to leave a review for 51 cents. poor practices in promotions.,November 17 2016,3
org.telegram.messenger,Ok Ok,November 17 2016,5
org.telegram.messenger,Telegram app have to improve Telegram app to develop like whatsapp there is no options like whatsapp please try to get much more features and options in telegram app,November 17 2016,2
org.telegram.messenger,Ok!?,November 17 2016,4
org.telegram.messenger,Super,November 17 2016,5
org.telegram.messenger,Good love it So great,November 17 2016,5
org.telegram.messenger,i am using this in 2 devices,November 17 2016,4
org.telegram.messenger,Good I,November 17 2016,4
org.telegram.messenger,Great,November 17 2016,5
org.telegram.messenger,It very very good,November 17 2016,5
org.telegram.messenger,ok better,November 17 2016,4
org.telegram.messenger,best app,November 17 2016,5
org.telegram.messenger,Super Pukukani,November 17 2016,5
org.telegram.messenger,Why I can't screenshot my telegram conversation? It says that 'content is protected by DRM' Hate that.,November 17 2016,4
org.telegram.messenger,Nice app but can't compare with whats app now but we want to update like whats or better then whats app,November 17 2016,4
org.telegram.messenger,Nice....,November 17 2016,5
org.telegram.messenger,Very good Tnx,November 17 2016,5
org.telegram.messenger,❤The Best❤ Cool The Best Social Networking App✌👍👏Very Well😎,November 17 2016,5
org.telegram.messenger,A Serious Problem I can't delete recent stickers from Android app but I can delete recent Emojis I used from android. Please fix it.,November 17 2016,4
org.telegram.messenger,Telegram apps Good I like it,November 17 2016,4
org.telegram.messenger,Add any new thing interesting,November 17 2016,4
org.telegram.messenger,Nice Beautiful,November 17 2016,5
org.telegram.messenger,Error can't play the game now.,November 17 2016,2
org.telegram.messenger,Usefull Im happy,November 17 2016,5
org.telegram.messenger,I love it,November 17 2016,4
org.telegram.messenger,This applicatian is very good,November 17 2016,5
org.telegram.messenger,Easy love,November 17 2016,5
org.telegram.messenger,Gud Nice,November 17 2016,1
org.telegram.messenger,Nice,November 17 2016,5
org.telegram.messenger,Can include some more features like callng and making show other taht u r ofline but still onli,November 17 2016,3
org.telegram.messenger,Be indian buy indian,November 17 2016,5
org.telegram.messenger,Waste of time and waste of net,November 17 2016,1
org.telegram.messenger,Super Semma.,November 17 2016,5
org.telegram.messenger,Best ever than whatApfk It is much more better than any other messenger .amazing app. Suggest others to use this,November 17 2016,5
org.telegram.messenger,Loved it Better then what's app....,November 17 2016,5
org.telegram.messenger,This is nice,November 17 2016,5
org.telegram.messenger,Better than watsapp!,November 17 2016,5
org.telegram.messenger,Awesome Telegram is great messaging app and it is going to replace wattsapp 😊😉,November 17 2016,5
org.telegram.messenger,Outstanding!,November 17 2016,5
org.telegram.messenger,Speed,November 17 2016,5
org.telegram.messenger,Balaji Nice on,November 17 2016,5
org.telegram.messenger,Loved it,November 17 2016,5
org.telegram.messenger,Telegram Teacher student,November 17 2016,5
